Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"8-3-2022 / Washington, DC / Capital One Arena (Schoeps MK4s) (tj) ",AUD,FLAC,
"8-8-2022 / New York, NY / Madison Square Garden (MK4s) (tj)",AUD,FLAC,
"8-9-2022 / New York, NY / Madison Square Garden (MK4s) (tj)",AUD,FLAC,
"8-11-2022 / New York, NY / Madison Square Garden (MK4s) (tj)",AUD,FLAC,
"8-12-2022 / New York, NY / Madison Square Garden (MK4s) (tj)",AUD,FLAC,
"8-14-2022 / New York, NY / Madison Square Garden (MK4s) (tj)",AUD,FLAC,
"8-14-2022 / New York, NY / Madison Square Garden (MK41s) (jb)",AUD,FLAC 24,
,,,
,,,
[MISC],,,
Rage Against The Machine - Angry Souls (KRHM 15) (1997),Silver CD,FLAC,
Rage Against The Machine - Burn Yourself Alive (Live in Europe 1993),Silver CD,FLAC,
Rage Against The Machine - Live USA 1993 ,Silver CD,FLAC,
Rage Against The Machine - Fahrenheit 451 (Live USA 1994) (SH9020),Silver CD,FLAC,
Rage Against The Machine - Freedom Fighters (RATM003),Silver CD,FLAC,
Rage Against The Machine - Rage On Stage,Silver CD,FLAC,
Rage Against The Machine - Snapshots,Silver CD,FLAC,
Rage Against The Machine - Who's On First? (HAWK028),Silver CD,FLAC,
Rage Against The Machine - Unplugged and Rare (RATM001),Silver CD,FLAC,
Rage Against The Machine - Year of the Boomerang,Silver CD,FLAC,
Rage Against The Machine - American Headlines (CL 7905) (1993),Silver CD,FLAC,
Rage Against The Machine - America's Most Wanted {OCTO 005} (1994),Silver CD,FLAC,
Rage Against The Machine - Guilty {RATM96} (1996) ,Silver CD,FLAC,
Rage Against The Machine - Killing In The Name {LL 15521} (1994) ,Silver CD,FLAC,
Rage Against The Machine - Revolution {KTS 202} (1993) ,Silver CD,FLAC,
Rage Against the Machine - Scream Louder (1997) ,Silver CD,FLAC,
Rage Against The Machine - The Killing Zone {KTS 290} (1994),Silver CD,FLAC,
"1991 Demo Tape / Los Angeles, CA / Sunbirth Studio",,FLAC,
Rage Against The Machine - Live at Finsbury Park 2010,Official,MKV,
Rage Against The Machine - Live at the Grand Olympic Auditorium (2003),Official,DVD,
,,,
,,,
[OFFICIAL RELEASES],,,
Rage Against The Machine - Live & Rare (2022) (24/44.1),,FLAC HD,
,,,
,,,
,,,
,,,
,,,
Tom Morello,Versions,File Type,
Drive - F,,,
,,,
,,,
[2024],,,
"12-5-2024 / West Hollywood, CA / Roxy (DPA 4081) (faninor) ",AUD,FLAC 24,
,,,
[2025],,,
"2-6-2025 / Anaheim, CA / House of Blues (DPA 4081) (faninor)",AUD,FLAC 24,
4-13-2025 / Melbourne AUS / The Forum (IEM HiFi Stereo) (blackout),IEM,FLAC,
"11-17-2025 / Boston, MA / Paradise Rock Club (OKMIIr) (massu2) ",AUD,FLAC,
