Weezer,Versions,File Type,
"9-2-2023 / Irvine, CA / FivePoint Amphitheatre (DPA 4081) (faninor) ",AUD,FLAC 24,
"10-6-2023 / Melbourne, Australia / John Cain Arena (Nokia Lumia 930) (eckythump)",AUD,FLAC,
,,,
[2024],,,
"3-4-2024 / Anaheim, CA / Honda Center (DPA 4081 (faninor)",AUD,FLAC 24,
"3-15-2024 / Los Angeles, CA / Lodge Room (DPA 4081) (faninor)",AUD,FLAC 24,
"9-7-2024 / Columbus, OH / Nationwide Arena (SP-CMC-8) (live2cd)",AUD,FLAC,
"9-7-2024 / Columbus, OH / Nationwide Arena (DPA4061) (mitaper78)",AUD,FLAC,
"9-8-2024 / Toronto, ON / Scotiabank Arena - Rec 1 (CSB) (burnboy)",AUD,FLAC,
"9-8-2024 / Toronto, ON / Scotiabank Arena - Rec 2 (SP-CMC-8) (burnboy) ",AUD,FLAC,
"9-8-2024 / Toronto, ON / Scotiabank Arena - Rec 2 (SP-CMC-25) (burnboy) ",AUD,FLAC,
"9-14-2024 / Washington, DC / The Anthem (CAFS Omnis) (unk) ",AUD,FLAC 24,
"10-9-2024 / San Francisco, CA / Chase Center (Schoeps MK4) (loughney) ",AUD,FLAC 24,
